time1,Diode,time2,PCD3_B,time3,PCD1,time4,PCD2,time5,PCD3,time6,PCD1_B,time7,PCD2_B,,,,,,
-3.93E-06,0.004,-3.93E-06,-0.00239992,-7.63E-07,-0.00559992,-7.63E-07,-0.00319992,-7.63E-07,0.0136001,-7.63E-07,0.00399986,-7.63E-07,0.0159999,0.004960004,,,,,
-3.93E-06,0,-3.93E-06,-0.00319992,-7.63E-07,-0.00399992,-7.63E-07,-0.00479992,-7.63E-07,0.0144001,-7.63E-07,0.0199999,-7.63E-07,0.0119999,0.007520012,,,,,
-3.93E-06,0.012,-3.93E-06,-0.00319992,-7.62E-07,0.00320008,-7.62E-07,-0.00319992,-7.62E-07,0.00720008,-7.62E-07,0.0139999,-7.62E-07,0.00199986,0.00464,,,,,
-3.93E-06,-0.004,-3.93E-06,-0.000799922,-7.62E-07,-0.00319992,-7.62E-07,-0.00559992,-7.62E-07,0.0192001,-7.62E-07,0.0119999,-7.62E-07,0.00999986,0.006480004,,,,,
-3.92E-06,0.012,-3.92E-06,-0.00159992,-7.62E-07,-0.00159992,-7.62E-07,-0.000799922,-7.62E-07,0.00560008,-7.62E-07,0.0199999,-7.62E-07,0.0139999,0.007440008,,,,,
-3.92E-06,0.004,-3.92E-06,0.000800078,-7.61E-07,-0.00879992,-7.61E-07,-0.00239992,-7.61E-07,0.0120001,-7.61E-07,0.0179999,-7.61E-07,0.00999986,0.005760004,,,,,
-3.92E-06,0.012,-3.92E-06,-0.00559992,-7.61E-07,0.00240008,-7.61E-07,-0.00159992,-7.61E-07,0.00960008,-7.61E-07,0.0119999,-7.61E-07,0.0119999,0.006880008,,,,,
-3.92E-06,0.008,-3.92E-06,-0.00319992,-7.60E-07,-0.00559992,-7.60E-07,-0.000799922,-7.60E-07,0.00960008,-7.60E-07,0.00999986,-7.60E-07,0.0199999,0.00664,,,,,
-3.92E-06,-0.008,-3.92E-06,0.000800078,-7.60E-07,-0.00479992,-7.60E-07,-0.00959992,-7.60E-07,0.0160001,-7.60E-07,0.00999986,-7.60E-07,0.0199999,0.006320004,,,,,
-3.92E-06,-0.004,-3.92E-06,-0.00159992,-7.60E-07,-0.00639992,-7.60E-07,-0.00719992,-7.60E-07,0.00960008,-7.60E-07,0.0199999,-7.60E-07,0.00999986,0.0052,,,,,
-3.92E-06,-0.016,-3.92E-06,0.000800078,-7.59E-07,-0.0111999,-7.59E-07,-0.00479992,-7.59E-07,0.0120001,-7.59E-07,0.00399986,-7.59E-07,0.00599986,0.0012,,,,,
-3.92E-06,0.016,-3.92E-06,-0.00479992,-7.59E-07,-0.00159992,-7.59E-07,-0.000799922,-7.59E-07,0.0112001,-7.59E-07,0.0139999,-7.59E-07,0.0139999,0.007360012,,,,,
